frame_idx,model_label,preprocess_ms,inference_ms,postprocess_ms,total_ms,detections,confidence_mean,gpu_mem_mb,cpu_percent
74,yolo_fasternet,1.622,42.075,0.248,44.185,8,0.7661,0.0,55.6
75,yolo_fasternet,1.552,41.37,0.272,43.434,7,0.8126,0.0,52.8
76,yolo_fasternet,1.625,41.925,0.285,44.087,7,0.8126,0.0,52.8
77,yolo_fasternet,1.625,42.116,0.265,44.276,7,0.8164,0.0,54.1
78,yolo_fasternet,1.666,40.953,0.258,43.128,7,0.8193,0.0,51.4
79,yolo_fasternet,1.606,42.164,0.293,44.31,7,0.8203,0.0,52.8
80,yolo_fasternet,2.11,41.949,0.264,44.652,7,0.7834,0.0,51.4
81,yolo_fasternet,1.571,40.206,0.255,42.271,7,0.8101,0.0,54.3
82,yolo_fasternet,1.631,40.948,0.249,43.087,7,0.8053,0.0,52.9
83,yolo_fasternet,1.585,45.386,0.274,47.496,7,0.7931,0.0,56.4
84,yolo_fasternet,1.887,56.596,0.311,59.087,8,0.7884,0.0,54.2
85,yolo_fasternet,1.88,44.558,0.26,46.971,8,0.6858,0.0,50.0
86,yolo_fasternet,1.607,39.432,0.254,41.539,8,0.7723,0.0,52.9
87,yolo_fasternet,1.552,43.377,0.259,45.452,8,0.7734,0.0,54.1
88,yolo_fasternet,2.045,40.005,0.247,42.61,8,0.7596,0.0,54.3
89,yolo_fasternet,1.554,40.216,0.258,42.286,8,0.7241,0.0,50.0
90,yolo_fasternet,1.608,39.71,0.255,41.83,7,0.7964,0.0,50.0
91,yolo_fasternet,1.553,39.875,0.254,41.933,7,0.7419,0.0,52.9
92,yolo_fasternet,1.589,39.685,0.256,41.787,5,0.9137,0.0,50.0
93,yolo_fasternet,1.849,48.607,0.248,50.985,5,0.913,0.0,51.2
94,yolo_fasternet,2.048,41.151,0.25,43.761,6,0.8399,0.0,54.1
95,yolo_fasternet,1.553,39.649,0.249,41.694,6,0.894,0.0,51.5
96,yolo_fasternet,1.597,39.222,0.251,41.324,6,0.8903,0.0,50.0
97,yolo_fasternet,1.543,39.61,0.253,41.645,6,0.8803,0.0,52.9
98,yolo_fasternet,1.858,46.078,0.257,48.474,6,0.8392,0.0,51.3
99,yolo_fasternet,1.586,39.879,0.26,41.962,6,0.7942,0.0,50.0
100,yolo_fasternet,1.607,40.06,0.248,42.159,4,0.8772,0.0,52.9
101,yolo_fasternet,2.307,43.882,0.264,46.763,6,0.8438,0.0,57.5
102,yolo_fasternet,1.595,40.777,0.268,42.892,6,0.8538,0.0,50.0
