frame_idx,model_label,preprocess_ms,inference_ms,postprocess_ms,total_ms,detections,confidence_mean,gpu_mem_mb,cpu_percent
80,yolo26n,1.327,49.846,0.206,51.597,9,0.6186,0.0,52.4
81,yolo26n,1.687,49.163,0.212,51.319,8,0.6697,0.0,51.2
82,yolo26n,1.359,48.716,0.205,50.497,8,0.6631,0.0,52.4
83,yolo26n,1.346,50.885,0.223,52.685,8,0.6477,0.0,53.5
84,yolo26n,1.32,48.57,0.204,50.31,8,0.6159,0.0,50.0
85,yolo26n,1.351,49.517,0.207,51.281,8,0.6405,0.0,52.4
86,yolo26n,1.315,48.589,0.232,50.348,7,0.667,0.0,52.4
87,yolo26n,1.331,49.481,0.21,51.23,7,0.6991,0.0,51.2
88,yolo26n,1.314,48.775,0.204,50.509,7,0.6967,0.0,51.2
89,yolo26n,1.687,49.269,0.2,51.415,7,0.7035,0.0,53.5
90,yolo26n,1.293,49.119,0.206,50.833,7,0.7107,0.0,50.0
91,yolo26n,1.37,49.454,0.216,51.272,7,0.7163,0.0,52.4
92,yolo26n,1.489,52.744,0.22,54.733,7,0.7158,0.0,56.8
93,yolo26n,1.318,48.889,0.202,50.636,7,0.7256,0.0,51.2
94,yolo26n,1.353,49.603,0.204,51.373,7,0.7233,0.0,52.4
95,yolo26n,1.489,49.747,0.214,51.696,7,0.7251,0.0,52.4
96,yolo26n,1.353,50.777,0.202,52.563,8,0.6535,0.0,53.5
97,yolo26n,1.936,50.898,0.205,53.316,9,0.5936,0.0,54.8
98,yolo26n,1.406,48.607,0.228,50.484,9,0.5917,0.0,51.2
99,yolo26n,1.383,49.494,0.204,51.307,7,0.6404,0.0,52.4
100,yolo26n,1.304,48.521,0.202,50.244,7,0.6336,0.0,51.2
101,yolo26n,1.664,51.195,0.207,53.412,7,0.6144,0.0,55.6
102,yolo26n,1.326,48.619,0.205,50.366,7,0.6033,0.0,50.0
103,yolo26n,1.326,49.337,0.238,51.154,7,0.6262,0.0,51.2
104,yolo26n,1.301,48.451,0.201,50.182,7,0.6422,0.0,52.4
105,yolo26n,1.738,49.228,0.209,51.434,6,0.6101,0.0,52.4
106,yolo26n,1.38,50.112,0.215,51.926,8,0.5631,0.0,54.8
107,yolo26n,1.366,52.991,0.234,54.801,10,0.4668,0.0,53.5
108,yolo26n,1.357,48.899,0.216,50.698,7,0.5152,0.0,51.2
109,yolo26n,1.333,48.895,0.209,50.645,7,0.5225,0.0,52.4
110,yolo26n,1.338,49.559,0.213,51.319,6,0.5561,0.0,52.4
111,yolo26n,1.31,50.991,0.207,52.723,7,0.5248,0.0,52.4
112,yolo26n,1.457,64.36,0.327,66.382,5,0.5986,0.0,64.2
113,yolo26n,1.809,48.709,0.201,51.025,6,0.5543,0.0,52.4
114,yolo26n,1.333,50.517,0.239,52.318,6,0.5305,0.0,53.5
115,yolo26n,1.769,49.639,0.349,52.079,7,0.4851,0.0,52.4
